Metabolites,Veh-Ah-1,Veh-Ah-2,Veh-Ah-3,2dG-Ah-1,2dG-Ah-2,2dG-Ah-3,Veh-XJ-1,Veh-XJ-2,Veh-XJ-3,2dG-XJ-1,2dG-XJ-2,2dG-XJ-3,Veh-DS-1,Veh-DS-2,Veh-DS-3,1mMGLC-DS-1,1mMGLC-DS-2,1mMGLC-DS-3,Veh-Zh-1,Veh-Zh-2,Veh-Zh-3,5uM5FU-1,5uM5FU-2,5uM5FU-3
2-aminoacrylic acid,790811.0135,789277.8481,827893.5241,770465.6678,880556.1452,859339.3122,1130616.823,1193219.035,1335330.472,1039502.683,1067776.628,1138472.928,1428843.086,1443348.333,1404545.477,1740509.835,1699062.984,1798399.596,989411.1466,839926.0545,811096.3835,875248.6926,944420.4521,835630.2374
D-serine,2028905.328,2151751.006,2316925.778,1721193.619,2199718.647,2091565.3,3625537.167,3643857.325,4318952.087,3080584.625,3165859.659,3277096.694,6902645.734,7305193.545,7226160.444,6261314.426,6417474.537,7159610.534,1473500.604,1036730.999,782333.1361,1144421.366,1191929.287,1344963.95
N-methylethanolaminium phosphate(1-),1409594.389,1318065.42,1424370.004,1335930.412,1684439.314,1714865.568,1840371.799,1889682.273,1984763.629,1805743.96,1916321.079,1811853.793,440775.4007,379681.2943,427446.6005,320816.1159,303175.9009,283585.1244,851675.0159,793189.8631,718908.3516,835851.7443,778292.2935,731097.4076
cytosine,558124.2115,696016.3312,737891.9909,235507.3431,331091.9021,300944.3066,305278.6231,327523.3443,331785.4871,277411.0805,296034.678,286654.4722,1035030.131,785070.6823,591772.8482,319963.1275,259824.5887,321973.5897,559362.9782,724915.0106,774627.7779,557933.3889,911011.612,820458.5697
creatinine,148056080.3,154999652.5,171946195.8,175675445.2,99737765.84,114000949.9,53594811.64,57857284.35,69410156.89,46862529.83,49034737.88,47404269.13,101942973.1,98124227.93,84800483.05,10348840.52,10162940.84,10311626.8,27197676.07,31526087.34,31326010.98,25001495.16,31990910.7,29858333.06
creatine,252486002.7,248541136.3,255922019.1,268967150.5,303374102.3,271219438.9,140320759.4,137557074.5,153810599.9,169589517.1,169043704.9,167108196.1,224925939.9,230016392.3,223877972.4,249227725.9,251803269.8,244824100.2,187882920.9,193740737.9,178931900.5,192487761,191200653.4,168817472.3
Phosphodimethylethanolamine,15943493.27,13564730.37,14527615.54,15910424,15604041.99,16766433.84,6709215.696,6719219.062,6884819.883,7479589.521,7470647.63,7223031.494,860768.0835,799123.7242,1013497.347,843637.8266,839608.8884,861321.8522,5122745.265,5254098.707,5939786.347,5813423.882,5239248.973,6007050.991
56-dihydrothymine,2522292.462,2646670.559,2610136.222,2276148.78,2732408.232,2566297.85,2694952.904,2632628.494,2825549.027,2204524.953,2207320.899,2252906.852,4040560.113,4227413.383,4140810.761,5149080.058,5380551.343,5370115.493,6544546.7,7154978.7,7322902.683,6791102.258,7087206.719,6596882.386
2-deoxy-D-ribose,45714.91155,40210.43835,42292.6843,43118.86935,59417.1656,56654.7489,50692.5233,53686.05005,64947.67805,48031.9547,46134.6617,45661.9997,96279.8225,114654.6109,108506.8168,113241.1555,112655.5889,124083.1717,99308.8164,85016.49765,86965.0104,92536.7195,92210.69685,77515.06355
adenine,277011.5279,457345.708,408065.8426,332073.9947,616516.702,576594.3251,121517.9118,134915.2005,128484.7067,117119.369,139979.9451,132431.194,199129.5569,225533.7646,266277.9528,504256.5859,532006.5179,553354.4239,284558.9908,318228.3005,322585.5974,303927.8977,342644.4116,337201.6738
2-keto-4-methylthiobutyrate,24354.85325,25660.76695,33933.1047,23883.23385,33590.82405,27107.5713,30191.0497,32929.65325,41276.9403,22274.9912,24688.5346,24334.9318,58347.3218,66303.71515,57573.7609,63836.0613,56205.11015,70007.95315,52255.2728,46249.4654,52766.7368,49994.7254,54024.57795,49320.3022
L-cysteinylglycine,1605115.846,1481861.325,1521190.71,531006.6967,861383.3992,672111.399,370451.0535,403666.4361,386202.7998,284782.2956,229233.2526,260629.7499,892776.5661,951372.4348,894261.2072,1129146.132,1058947.682,1003330.524,1058600.053,1199085.237,1155969.526,1126449.17,1198704.691,917542.0113
choline phosphate(1-),290859790.7,204277897.3,220706366.8,298632895,292832807.1,300326433.8,32287574.09,34452380.41,23147166.04,40953930.52,36653986.13,33886262.01,11121517.86,11386714.91,11318841.86,12991131.22,12889071.71,12708255.3,36576664.69,42966724.68,47329632.49,45122331.3,38300957.29,55379846.92
Nicotinamide,8556759.349,10039120.33,9965252.846,5228577.731,6827976.876,6850634.937,5508110.386,6191330.07,7850180.507,4878083.213,5401146.755,5374015.946,15781200.96,12655649.02,10492286.15,11240211.3,12292377.93,12412652.05,6048680.785,7093293.712,7012347.088,4932453.909,7866354.621,6251847.735
N-acetylputrescinium,22203528.95,24394428.64,25103309.43,20535801.41,20355230.79,19199249.24,23880947.26,23643946.45,26735349.7,18512622.03,18298931.05,18733570.44,46395951.33,45752382.34,45592941.24,47864107.31,48624869.65,43348689.31,58269025.11,53425510.18,50555960.06,53993356.03,52873289.01,44571760.58
3-Methylimidazoleacetic acid,1181139.129,1251899.566,1308743.449,692046.7814,818195.0296,1051142.312,802579.1204,827452.4848,1071493.154,648510.7854,640274.4036,657854.0244,1719864.427,1886933.16,1702826.537,310801.757,295641.4317,300294.7586,945098.827,962275.3324,935528.7824,887233.8515,970361.8402,657214.0342
4-Imidazolone-5-propanoate,14578.9681,15173.20065,16564.285,15639.5584,13517.3317,18784.6258,57222.9103,67039.5589,88801.3311,45992.57015,43739.085,48687.63595,122075.8684,120197.6871,120321.5642,148045.5784,149162.0769,144150.5571,75387.1773,69604.451,46837.4483,66209.7827,73126.3683,49115.6893
D-Alanyl-D-alanine,88639.63435,55206.7164,60000.4253,15726.5943,13029.0585,15509.04955,62342.29845,73163.37715,91496.88385,56844.44945,52448.54175,56912.7526,44897.8146,65493.25335,59115.0304,9631.5073,12307.92395,11543.70775,65048.46705,98409.83975,84318.08195,64258.53095,117857.6214,112687.7626
citr_L[e],676776.4171,663367.9388,706301.1497,567056.7157,626636.4438,574288.242,694438.2128,721806.311,859998.2811,641226.2977,654407.9963,666114.9203,1069710.807,1046883.922,1013629.713,42495.24405,55319.1158,53588.49555,703857.7547,665812.5043,689032.0201,678781.3286,688929.4033,643190.6721
D-Glucosamine,373948.939,583088.1383,547544.9152,427990.9675,598706.1329,602402.8609,568257.4924,590997.0455,661549.7696,447231.7565,470215.5235,442509.2018,2247258.514,2804107.156,2506632.982,7057.59095,8037.596,11693.8622,505546.6535,266014.8405,199356.7515,329897.1601,282103.3576,244273.0411
benzoate,602016.5557,781415.0946,750873.7302,612554.5265,790236.3296,862074.4513,609706.665,651044.7696,858238.5414,556872.547,574217.4773,581291.6303,977891.0883,1170445.396,1002241.221,1008498.095,1012368.986,1056962.551,767618.6472,676093.6007,629802.7752,675394.759,708081.0215,568034.3509
anthranilate,253017.8066,229227.7189,227405.1554,108652.689,115132.5614,116441.9072,78579.91795,81998.52765,80445.9479,30489.95245,27350.5838,26041.6933,173372.3047,189994.7177,186884.617,154500.5567,154367.3945,191511.5691,205521.7686,180618.5607,164115.8684,121824.744,124562.1941,104044.9378
3-methylcrotonoylglycine,117478.2583,120688.9729,116275.4574,79140.75285,98143.2282,108325.0587,101339.5457,104373.3986,118780.5705,82929.687,98699.62765,99063.142,153246.7797,187781.5409,182836.4915,28464.2355,35856.5136,43755.01335,57663.30425,40667.4904,48647.58765,48070.0654,43684.3184,45041.93605
(R)-carnitine,53618177.61,54230074.37,53305802.57,47117792.81,52705925.91,48190178.82,41031795.3,40990183.34,47679324.39,36601601.89,36472801.93,36890436.64,95817401.48,95805254.02,93212285.03,81324493.59,81371465.41,83279504.47,37602442.3,35054029.43,33668182.58,35323467.02,32843878.44,29935495.79
N(2)-acetyl-L-ornithine,289357.0085,292754.4805,300350.854,226204.955,249861.4942,211770.6519,367054.0679,391392.9717,474171.7587,309410.1029,318755.223,308100.8209,617656.8282,620332.685,559428.3383,15098.6001,13015.09755,26570.51575,289433.748,241404.6093,245835.0788,234679.9045,228666.4616,214559.472
2-phenylethanaminium,35064.8912,52904.0169,36667.44385,602566.4658,527948.6664,627126.0452,63166.50515,65419.4377,67477.5969,56928.0072,69431.67645,65616.04765,83682.8412,89763.1174,45506.04755,44574.45765,45051.5625,49141.8118,30535.9084,37155.74935,36516.64315,40255.8202,37261.6014,34334.41345
tyraminium,34997.33925,53112.03425,42937.08135,20962.76815,50055.94375,37645.31915,80692.02285,90180.6958,96663.47015,73589.04845,89416.4294,97068.1109,110426.9865,165183.501,61677.75735,52680.67365,55464.10675,79991.6214,50582.2066,51200.14205,56643.96905,47906.19095,56244.0107,60354.6072
dopaminochrome,510927.7167,627874.3723,678342.2352,669092.2466,987231.8573,902701.2499,369196.4299,380768.0682,448070.9747,344126.8471,344702.3145,353316.2352,449401.9581,321274.9243,270252.0623,383438.1788,328690.083,266022.0032,400931.3056,446488.0403,456415.1166,307940.0759,385086.3378,385084.5074
Pyridoxal,540658.0171,641022.435,705854.8657,3637584.152,2632052.999,2786468.828,338944.3526,342114.7591,397397.3262,311684.9867,315405.2744,318834.579,535738.1692,413118.0377,376709.5988,514225.264,438738.5692,388210.1944,377556.2984,381633.5574,373803.7058,278191.9874,326287.9047,319432.2619
coumarin,280234.8584,357384.431,344933.7949,275555.871,337811.0209,400155.0666,277613.8638,298488.234,414419.5777,251834.6441,268168.6869,273164.2105,440863.2837,568038.7781,443603.1899,465303.4781,451186.067,476600.884,357975.3598,305723.6004,278620.77,302688.3395,320129.6983,265331.0122
N6N6N6-Trimethyl-L-lysine,9131298.303,12165169.71,11830975.68,5914973.734,9558814.867,9506990.129,3863771.019,4204502.29,5651941.549,3380689.593,3701002.246,3728262.908,9767721.956,12292479.38,8928462.912,2037274.208,1952456.703,1951366.207,2997035.372,3048138.655,2942111.144,2954714.862,3025790.495,2486940.622
perillyl aldehyde,177562.1705,194804.8085,184315.928,140215.2762,137774.8692,141426.4864,40925.5685,38241.081,34910.0293,40902.99415,42995.55035,37824.75275,44966.7019,77419.79285,33192.11595,35949.12345,50649.98505,48808.5289,73721.2743,58724.04525,53696.73175,62583.0469,57618.796,55347.1885
5-Hydroxyindoleacetate,38177.1861,44983.55655,50097.00935,34087.17765,46447.45745,57367.6805,58663.44975,59115.06105,80629.04515,47971.78925,54227.82365,55174.1289,109036.513,108704.2685,100185.6196,32351.94795,25976.4058,30722.0413,85950.8869,81270.85405,72536.73835,81259.2709,86819.0202,64883.21725
N-methyl-467-trihydroxy-1234-tetrahydroisoquinoline,30869.10705,41944.6881,40058.0819,244997.4743,206954.6104,204382.6223,41557.3957,44308.81425,53805.21755,41466.33325,53983.797,45410.7034,1465474.644,1826632.153,1481596.112,12563.22005,22135.10135,21958.99495,13000.2763,27589.34185,23643.8059,15302.12415,23724.3034,17727.32635
glutathionate(1-),59546263.16,54523382.39,57791678.92,19993147.69,31036400.35,23512191.79,20017560.33,20045183.59,20947197.82,14823320.96,12323167.04,13406507.86,59697719.62,62691405.69,60883507.55,70244475.23,66933653.52,62331744.85,50837212.19,52557878.51,47244424.66,52346418.51,53700794.32,41543104.52
beta-carboline,8698.34885,9545.90295,10297.05535,3158.20635,7761.56595,6711.008,8406.5116,8964.4445,9205.9437,6193.8747,7074.512,6199.0201,10679.92535,6722.5023,4545.55415,13784.18895,15355.2726,11551.2142,7952.322,8316.3321,7451.18225,6267.0557,7937.02745,6973.5387
5-methoxytryptophol,17437.76975,19333.97655,17820.32905,27191.73065,39526.946,47270.74795,16492.9333,20317.21335,25385.72985,26413.8224,25894.1239,25990.90075,63566.29915,127529.4416,119690.8865,80945.3405,70433.9675,78625.60815,10940.33905,15273.60705,14936.06825,12921.76695,15927.09855,11619.70815
5-Methylthioadenosine,2545117.724,4521107.657,3590163.657,3597743.299,6450129.447,6261928.351,204390.7571,230450.9453,263945.493,182278.3092,280644.4356,312511.2902,1030279.253,900052.0971,950877.5973,936711.0559,1071680.567,1095017.298,579602.177,545432.6941,496442.0577,510438.5929,610054.754,544100.4697
N-acetylneuraminate,984381.0503,1475301.852,1165426.29,2142425.397,1876411.219,1849169.711,1155634.712,1183969.155,609002.7076,458357.9597,564008.2344,489167.9528,879740.898,868551.1558,759474.1379,84233.52025,83327.4866,68508.13285,1854208.141,1141209.433,973532.5247,969410.4604,873243.1019,901270.4638
3(S)10(R)-OH-octadeca-6-trans-412-cis-trienoate,50845.095,59096.34,57194.83425,38577.9654,31887.29425,36937.676,17129.96065,14116.91555,15755.4123,22056.73135,20091.7303,17649.943,18844.4589,42174.46045,19422.0874,20383.61405,25784.8198,26362.74435,28796.1537,25684.20645,24581.1883,25789.72435,24991.05545,21625.0134
UDP(3-),799629.8708,781620.5313,760835.0156,1082466.156,1049397.081,1109352.936,165609.2518,178570.1812,212911.9889,395822.6993,400993.118,383136.9132,242530.1139,284930.0824,342562.5132,356546.0599,375191.5455,453764.2673,446835.0507,464827.627,465839.1129,540335.9858,534821.1919,480597.7768
CMP-N-trimethyl-2-aminoethylphosphonate,18487.3987,25712.66035,23450.9544,4757.76405,7036.73325,5309.99545,26554.5105,26332.50795,26445.99805,19617.19525,22153.1502,21983.0801,113427.6246,118700.3374,95054.03635,95897.92255,104718.6602,81756.4551,7873.77685,8168.57905,12974.91785,16285.7944,14999.55615,11756.26965
(2S)-2-azaniumyl-4-{[(1R)-2-{[(2R)-2-[(4S)-4-azaniumyl-4-carboxylatobutanamido]-2-[(carboxylatomethyl)carbamoyl]ethyl]disulfanyl}-1-[(carboxylatomethyl)carbamoyl]ethyl]carbamoyl}butanoate,1404127.013,1762876.515,1769901.045,430181.8448,749585.0933,705452.8001,3100481.133,3291087.618,4485692.057,2617555.783,2870630.812,3139526.508,4806503.765,4734826.186,4759580.063,5829863.821,6209803.043,7161118.169,2078290.144,1780414.324,1731374.284,1838178.816,1870946.393,1824805.676
CMP-N-acetyl-beta-neuraminate(2-),133659.1615,155165.2791,175070.4402,39769.0869,75087.579,85764.82665,287198.5063,298723.176,418415.7923,235040.595,269006.538,294246.8207,451683.2589,453161.8182,450224.8694,537666.6776,596891.3202,685608.138,189411.7828,160928.3862,148240.9443,173632.1657,169077.8892,167062.778
NAD(1-),2418757.458,2653767.273,2713769.773,1941779.535,2192737.386,2031067.614,1638006.582,1701726.389,1834204.487,1351732.604,1372319.017,1303531.934,2101931.339,2215142.57,2360490.188,2616790.829,2523741.915,2762766.243,1823808.483,1796259.863,1836615.65,1336729.112,1353599.791,1176259.505
NADP+(3-),54853.65625,40411.50535,49392.80195,7640.37135,11716.8231,17134.18855,14643.83445,15320.38515,21050.6424,12868.52985,8772.7138,8744.4612,17809.6113,12511.8343,17883.30235,19173.7376,20844.9744,29008.5073,27151.9968,29956.66345,49933.5,27405.72415,27228.14685,44509.83585
13-carboxy-gama-tocopherol,35575.54465,42547.2618,49511.5486,29537.9815,36732.2899,41401.08945,11568.45015,14059.6074,10298.4092,8128.05845,13492.91735,11217.8473,319286.4288,344423.5894,421715.8864,300069.8614,407038.2259,466281.6135,11390.8753,8537.8031,9480.95,8654.2679,9832.3489,9359.50415
Tetracosatetraenoyl carnitine,38220.21805,63301.9744,64380.0848,29305.18165,58499.1593,60014.8357,11208.4235,10182.61715,13385.9401,12762.88015,12930.66415,12376.8979,247808.2102,255070.0378,251830.5394,317923.8813,312614.7726,328245.8841,6820.81535,10606.30345,12957.05085,10591.7988,14963.131,12856.4195
C4H9NO2(4),1858636.756,1830685.611,1948636.045,1329562.796,1668904.861,1586450.203,2307330.233,2211513.132,2285462.496,1830400.354,1780139.464,1770778.054,8896150.218,9626462.549,8869892.651,9063350.668,9097425.154,8600058.741,2796849.935,2637806.041,2735901.293,2618076.272,2692193.496,2331483.628
N-carbamoyl-beta-alaninate/Glycyl-glycine,8644248.309,8638019.946,8913328.955,9852319.017,11356662.24,11619310.53,10279955.62,10307257.5,11635347.36,9797145.087,9427092.032,9956934.12,19245988.54,19199939.04,18966100.52,20573704.1,20528976.84,21544603.24,17024994.52,14838578.2,15099727.74,15395289.12,15282767.2,13701788.54
1-pyrroline-2-carboxylate/1-Pyrroline-5-carboxylate,465953.3194,517117.3612,519737.381,431473.5543,603045.6861,566788.566,398527.4826,401638.8571,496260.2937,373405.2585,363137.9766,369240.6904,1052889.452,1147013.339,1079230.157,878650.1498,877588.482,915556.0453,693977.6425,712095.4027,612388.7349,677308.4136,696864.5065,578013.6339
acetamidopropanal,76731799.23,70037334.24,79857352.28,76979572.18,94982005.09,104946242.3,58380274.32,59995030.56,75214040.39,55776000.62,53466910.07,56268835.59,149106823.2,178435311.3,163298635.7,209766829.5,206769624.8,206990964.1,103133531.3,82127675.24,68504345.1,92389048.35,89332546.56,71406841.88
imidazol-4-ylacetate/thymine,19948.4271,28953.01005,37430.44745,23922.43865,43888.4194,38802.4315,24257.87135,25929.39285,25236.74265,23186.05745,22383.5262,22978.4188,46830.17505,40885.10195,48976.867,38459.09475,35722.89375,36180.5891,73095.5527,106542.3889,115707.0443,53041.21875,81796.5449,74108.5282
Ornithine,2127912.775,2507139.326,2423251.924,1135277.83,1700190.768,2119899.531,1265745.276,1255542.762,1458031.865,1394030.683,1438247.981,1475106.979,3940509.176,4464233.219,3165521.909,218490.6373,215956.0766,230577.5239,5064527.025,4090226.775,4102325.948,4848479.691,4300466.728,3941715.846
3-Ureidoisobutyrate/Glycylsarcosine,70865071.44,72503529.17,74486199.5,71189686.39,81273958.4,79246473.67,80878163.87,82163311.22,94158362.26,79477972.41,80247422.6,81820767.73,126584558.6,126029334.7,120818131.9,100613978.6,101554772.8,107480523.6,85583341.63,78148281.91,73317470.03,81971329.86,85707023.82,79786912.07
L-pipecolic acid/4-acetamidobutanal-1,891302.5955,993444.8862,998500.9621,687659.8193,908047.826,957231.2482,803123.1392,837099.1081,1037905.132,713360.5082,740680.6815,741697.2963,1593115.531,1925605.678,1712414.52,835726.5617,899669.2554,902915.3937,682651.0403,599359.1063,460648.4506,620132.0277,650979.6706,541771.2573
L-pipecolic acid/4-acetamidobutanal-2,2595396.454,3195160.845,3165961.338,1756044.256,2583994.674,2426347.406,2043981.884,2197613.106,2810357.789,1872464.521,2125001.711,2008870.346,3780406.19,4014014.467,3554592.417,3948804.353,4082516.837,4488440.707,1407959.169,1222856.853,1139925.551,1342541.689,1367395.705,1270202.362
C6H11NO3(4),714233.0357,755996.966,762209.5146,550780.9775,721264.7708,698341.3514,893540.5383,899815.5239,998552.2332,799543.7386,791665.3908,780763.9689,2670032.667,3359264.968,2992614.789,1228394.573,1424152.138,1352045.41,859687.1865,867114.0401,792749.6493,755003.6881,843407.6179,737919.3883
(R)-mevalonate,434250.1487,420262.2976,459946.1187,423013.8767,486590.0874,475637.0615,473807.5798,496520.9451,547840.6765,495760.5794,470303.3845,494520.6466,747645.0733,725032.8743,725197.4134,599366.3956,626281.4545,641367.7539,512268.3614,442623.6305,441425.0718,493925.4119,505852.1248,483177.6398
spermidine dialdehyde-1,838285.0928,867576.0914,849209.7408,810259.3179,949430.8867,897113.491,720194.9427,732894.3026,811145.2182,656887.4087,663495.7627,639202.5259,2191519.286,2119177.28,2127192.989,1983804.028,1906225.681,1908214.63,859808.797,803224.4884,797072.5431,817397.8859,770800.1779,689227.3167
spermidine dialdehyde-2,84752.32265,92495.4923,99443.7204,95734.9085,120378.1305,112716.5502,98807.69425,97660.3108,118255.6772,87803.51275,79837.59655,79364.0283,371902.4515,381609.9416,339540.9835,273845.7599,274774.025,236872.9866,133296.0116,126611.6359,116097.441,121972.9035,113654.3448,89651.8807
4-(trimethylammonio)butanoate/acetylcholine,16507456.03,17247360.43,18290619.08,18259034.53,20430936.82,22071284.69,12490194.26,12359934.73,14082568.12,12106277.67,11457849.99,12195896.03,55946348.57,54917536.41,52678105.7,53598754.97,52260427.99,51642777.63,13886985.88,14106301.23,13071997.58,13487458.43,12723633.5,10191696.81
2-methylbutyrylglycine/isovalerylglycine,86128.828,95933.41915,101135.7034,89183.7431,121579.7404,116902.3652,104596.4388,101416.0787,121456.1804,92202.69115,82852.08575,82658.35585,375782.5928,388006.5025,342019.5493,273384.8021,275364.2618,240232.1474,136898.6445,127563.1311,117107.8024,123407.3977,113898.8498,89914.3687
isoputreanine/putreanine,2735213.005,2990187.606,2955965.522,1873334.968,2749800.605,2888164.893,544143.5452,593833.1595,710270.4497,562318.4746,569725.3812,578188.6964,3693390.799,4418651.977,2759791.682,1542795.464,1419434.395,1441986.217,780776.7871,461981.0992,435747.0022,644614.4343,463722.9263,393528.29
L-Prolinylglycine/Glycylproline,130923.0715,119835.0991,113569.0428,111989.439,145955.7505,141437.0699,202130.1153,280282.6794,349938.0807,156517.2798,170537.07,218095.6296,666890.812,863106.7447,831901.7248,399551.6016,429355.4648,474699.8575,216501.2755,363249.7376,490599.5178,239549.0496,355262.0984,442121.3662
leukoaminochrome/dopamine o-quinone-1,349263.2239,308599.6243,302908.291,617160.8963,313015.2793,309318.8896,1065020.181,1171403.206,1239729.102,1146421.1,1239839.263,1131103.471,4589331.959,4036757.729,3426667.744,3657805.251,3624829.731,3450170.967,943917.0257,1289390.039,1246430.873,834160.3838,1305017.279,1353717.641
Glycylleucine,91923.23815,99694.7255,96465.42615,72247.0085,85025.6425,67934.71985,101591.3038,102322.6796,137984.4118,88057.90755,86584.53685,80030.1809,67312.3853,72975.60755,57096.7291,21668.84305,20946.324,40219.8725,156634.4117,140179.1398,90561.31545,143812.615,154215.0335,134557.1083
C9H8O3(3),1505993.203,1952316.861,1912627.018,1484686.877,1913131.484,2167963.442,1695065.957,1750894.957,2357944.467,1541529.799,1579674.304,1644911.517,2555481.89,3447266.775,2952022.111,2708418.636,2623329.412,2881547.615,2084499.492,1714064.825,1568599.051,1847942.36,1790289.219,1476880.834
Adrenaline/L-Normetanephrine,322479.7303,274452.3228,311373.1583,226886.6007,325022.3701,354844.1724,137906.9248,150025.137,181069.0536,127509.8153,138453.467,140913.9097,267646.0005,275769.6677,240554.3801,82705.00635,76696.21685,80143.8208,127210.56,140716.5189,115306.8495,116688.0258,143026.0137,94010.9379
pseudoecgonine/ecgonine,97755.1882,100112.3343,95524.65375,111874.607,139808.1047,134441.1541,50092.64985,51984.93965,60947.94355,52230.69705,45144.6381,49838.2017,254922.3087,277846.5605,250422.8941,174675.2785,158404.1369,159255.6887,93436.88295,71052.4632,49495.28695,81293.4008,85333.0553,67290.56015
limonene/(+)-alpha-pinene,61834.58645,77932.1124,66128.35135,51068.7608,49263.871,56068.341,30232.63595,29417.87075,28259.89165,27746.2495,32994.61665,30255.8034,16468.827,17656.93745,9693.26295,10191.72595,15627.1703,18040.29885,48456.0137,47721.9023,42906.97605,47183.47635,50706.62815,48835.39995
C10H16O(3),96761.34535,90512.1263,80813.38955,78841.47725,62545.09865,65351.7999,31001.46415,27128.2355,27452.30085,29157.3394,31369.71755,28716.9654,17202.55735,23744.86385,13536.68065,12237.36405,17946.8085,25523.9575,68633.88955,49047.0024,41364.3728,57062.78705,47535.72845,44831.3057
indole-3-acetate/(5-hydroxyindol-3-yl)acetaldehyde,19620534.11,26584556.07,23533167.1,13356330.8,19900414.68,18211035.49,9971759.479,11020986.19,14556707.85,10560569.27,11240293.56,11095969.53,13504100.62,12198236.25,12520863.3,6977337.24,9711276.793,11451583.02,3559311.198,3240812.778,3278418.109,3047315.998,3579084.269,3382697.308
5-hydroxytryptophol/12-dehydrosalsolinol/NN-dimethylindoliumolate-1,491027.838,562897.6387,549233.2371,530245.0227,593650.5942,663073.6686,384702.2136,362641.67,452449.8003,366298.2066,334437.8004,357377.7309,1173534.954,1287059.405,1236228.008,897730.9415,910807.3565,910584.8459,439086.2805,456361.8827,456767.7283,434708.8411,437479.258,376244.8861
5-hydroxytryptophol/12-dehydrosalsolinol/NN-dimethylindoliumolate-2,332500.3971,337515.5049,351074.8651,313241.6203,367405.8505,345195.4659,265859.8272,253540.7076,317942.8648,256483.5788,243803.5339,251856.2364,812393.102,804363.1116,795878.918,443729.0348,466837.2636,470916.8681,254687.4012,241960.8938,249245.7619,261625.5916,241063.6573,221424.9764
